figure,output_file,manuscript_asset,page_width_pt,page_height_pt,reference_pdf_sha256,required_text,raster_policy,comparison_note
Main Figure 1,outputs/figures/main/main_figure_01.pdf,manuscipts-figures01.pdf,518.0,346.0,8f64f530ed8cf76e5c3c319cc0ddb11efda67ecb14cee1c07846d6b8bcaae4da,Task sequence,allowed,canonical manuscript PDF; embedded stimulus images are intentional
Main Figure 2,outputs/figures/main/main_figure_02.pdf,manuscipts-figures02.pdf,345.6,324.48,9d8bfe7cfac9b489a3bb92b97ff5ea27ba3f1b57656c94eab15ffe766a858d4d,Observed familiarity-preference trajectories,forbidden,visible page; hidden off-artboard objects are intentionally excluded
Main Figure 3,outputs/figures/main/main_figure_03.pdf,manuscipts-figures03.pdf,345.6,320.4,ecadcad58f7cd240a158d112112ba7984560742f331848914291d8e40ef11b33,Category FNI and questionnaire associations,forbidden,visible page
Main Figure 4,outputs/figures/main/main_figure_04.pdf,manuscipts-figures04.pdf,345.6,450.0,7353cfc4ce1511558ab58b0d4d4cbd1d4544aa533d6cb777f9912bc43a11f63f,Questionnaire distributions and pairwise relationships,forbidden,visible page
Main Figure 5,outputs/figures/main/main_figure_05.pdf,manuscipts-figures05.pdf,345.6,357.165,556ed78759d5e104a85806a94c5cf01d89585a32b5787a0c7d590546880900fb,Visual familiarity trajectories and their psychological moderators,forbidden,visible page
Supplementary Figure 1,outputs/figures/supplement/supplementary_figure_01.pdf,participant_demographics_e2_e5.pdf,510.236,459.213,1f9fbde8595bf79b3193fdc517cce91817efe309e33c95e1ef9297de89fc31ef,Participant demographics across Experiments,forbidden,visible page
Supplementary Figure 2,outputs/figures/supplement/supplementary_figure_02.pdf,experiment1_four_category_trajectories.pdf,509.76,297.6,092de1ae49c22c3b310c24428ea31c72e93e4a2e7802476e35a603b15f2cd7fd,Experiment 1 four-category preference trajectories,forbidden,visible page
Supplementary Figure 3,outputs/figures/supplement/supplementary_figure_03.pdf,experiment4_category_trial_trajectories.pdf,510.236,297.638,4c547e9cb7661822fdffff670ab202e417481213968826f42d29fc66011b5b5f,Experiment 4 category trajectories,forbidden,visible page
Supplementary Figure 4,outputs/figures/supplement/supplementary_figure_04.pdf,raw_fni_pattern_counts_sign_and_neutral_band_supplement.pdf,510.236,566.929,63be3e974009184bf602d9d67378530dad7d2d389f221deaf7efac7a6df9c12c,Sign-only FNI patterns,forbidden,visible page
Supplementary Figure 5,outputs/figures/supplement/supplementary_figure_05.pdf,selected_participant_profile_details.pdf,518.4,146.88,f9a3fc704d4c916412fd86406a01302ba70d44799ad13027cc7e103f598c7706,author-selected familiarity-leaning case,forbidden,visible page; legacy crop internals are intentionally excluded
Supplementary Figure 6,outputs/figures/supplement/supplementary_figure_06.pdf,Figure_S12_individual_difference_sensitivity.pdf,237.6,189.36,562d6aafda0705ee0203ea68f6b189db4c8b878a5fdb79b4df10e4a26691aded,Post hoc equivalence sensitivity,forbidden,visible page; corrected label is rendered natively
Supplementary Figure 7,outputs/figures/supplement/supplementary_figure_07.pdf,conditional_questionnaire_association_model.pdf,509.76,260.64,59521422eb12f8b852337c7b7f098714796972fe954c79dac99f0433c55c1f17,Pooled questionnaire joint-association model,forbidden,visible page
Supplementary Figure 8,outputs/figures/supplement/supplementary_figure_08.pdf,negative_capability_questionnaire_correlations.pdf,510.236,328.819,1e9ba65dda7a5ddb45796974451a5df50c89de4073f53a5ca953d7bc9f66d6a3,Negative Capability and questionnaire measures,forbidden,visible page
Supplementary Figure 9,outputs/figures/supplement/supplementary_figure_09.pdf,aq_daily_perceived_benefit_correlations.pdf,510.236,232.441,9c11f74be6f1a38c89281b2ea6706c5d933d6638c336ce7ac8353bc0a82cb9ec,AQ and perceived benefits,forbidden,visible page
Supplementary Figure 10,outputs/figures/supplement/supplementary_figure_10.pdf,detailed_hlm_moderators.pdf,345.6,547.2,b376192955db264674743216e00adc39d91e97641cd018180d34ecf9334469fd,Flow attitude and Geometry trajectory,forbidden,visible page
Supplementary Figure 11,outputs/figures/supplement/supplementary_figure_11.pdf,Figure_S11_measurement_reliability.pdf,509.76,334.08,6887cd326f906e3e070a98cbbc30d6bd706edca7894f1ac0838d5dc3de81c1cd,Category-specific FNI stability,forbidden,visible page; corrected labels are rendered natively
