manuscript_profile_id,analysis_record_id,experiment,task_label,mode,face_fni,geometry_fni,scenery_fni,mean_category_fni,4_nf_daily,average_category_fni_daily_nf,4_food/cuisine,4_places/activities,4_movies or videos,4_restaurant,4_clothes,4_digital games,4_books or magazines,4_snacks or treats,plot_order,average_rug_unit,jitter_face,jitter_geometry,jitter_scenery,jitter_food,jitter_places,jitter_movies,jitter_restaurant,jitter_clothes,jitter_games,jitter_books,jitter_snacks,daily_line_order
P001,A025,3,Task 3,lab,0.5617647058823527,-0.9999999999999996,0.1573529411764705,-0.0936274509803921,0.875,0.3906862745098039,0,2,3,1,2,-2,1,0,0,-0.2981053716157297,-0.0958020996854228,0.0260360778881378,-0.0174533325184474,0.1009138458844271,-0.1017947862974492,-0.1091259284455675,-0.1318645813242894,0.0569789485805151,-0.1462438028248825,0.1419696619370872,-0.0203465499324574,19
P002,A026,3,Task 3,lab,-0.4955882352941176,0.3794117647058822,0.375,0.0862745098039214,1.5,0.7931372549019607,1,2,2,1,2,2,0,2,1,-0.7188244798753336,0.0385509542141622,0.0651536112026034,-0.0550957037901652,-0.0865782544586879,-0.0180633232362219,-0.0248568352346559,0.0285983743305959,-0.0654129582823271,0.0769634737618301,-0.046237416429498,-0.0203636862009623,25
P003,A027,3,Task 3,lab,0.1823529411764706,-0.0249999999999999,-0.1411764705882352,0.005392156862745,0.125,0.0651960784313724,1,-2,-1,-1,2,2,-2,2,2,0.7803384117661591,-0.0986121980550788,0.0688333204915417,-0.1077859200768649,0.0380895187111811,-0.1138648021138995,-0.0532821362933487,0.0127385511034784,-0.001253524425658,0.0090376996917565,-0.089546303182855,0.0902180171762033,-1
P004,A028,3,Task 3,lab,-0.1176470588235293,-0.8441176470588236,-0.6352941176470586,-0.5323529411764704,0.75,0.1088235294117646,2,-2,-1,1,3,0,1,2,3,-0.8262823475405355,-0.0688417492993037,-0.1155284967092782,-0.0683804881052021,-0.1386693778525187,-0.0651260861217363,0.0627830001819355,0.1443729070597955,-0.0949191315671249,-0.0351333134776605,0.1242227856501895,-0.1191841289471136,-1
P005,A029,3,Task 3,lab,-0.1602941176470588,0.8823529411764705,-1.9426470588235296,-0.4068627450980392,-0.875,-0.6409313725490196,1,-1,-2,-1,-2,0,-1,-1,4,-0.0241620985957359,0.0683233089132228,0.1045855750721663,-0.0014080550138782,-0.1473552865989304,0.1398120475204057,-0.1169638715237421,0.0445739590467634,0.0794282030847607,0.1152662133246866,-0.0048991479056681,0.0121889014335296,33
P006,A030,3,Task 3,lab,-0.8382352941176469,0.401470588235294,-0.6176470588235294,-0.3514705882352939,0.625,0.1367647058823529,-1,-1,-2,1,1,2,3,2,5,-0.9580076284181888,-0.0493955987538345,0.0715096338357212,-0.082705213800543,-0.1387457268858617,0.0686718105853273,0.109704270814173,-0.1198010407281578,-0.0922288926644899,-0.0127402212727544,-0.0410746854645388,-0.0841024411554344,13
P007,A031,3,Task 3,lab,-0.0308823529411762,-0.7102941176470589,-1.0382352941176467,-0.5931372549019606,0.5,-0.0465686274509803,1,-2,2,1,1,3,-2,0,6,-0.431615176420569,0.0865139409434188,0.0446942666622128,0.0990586509505858,-0.0358381393049216,0.1170212422718517,0.0797117578602282,0.024504836575917,0.1108057913320403,0.0463991719412856,0.0328064869439343,-0.0474125095409285,59
P008,A032,3,Task 3,lab,0.0558823529411763,-0.2411764705882351,-0.3647058823529412,-0.1833333333333332,1.5,0.6583333333333333,2,1,2,0,2,1,2,2,7,-0.1647899048924821,-0.0253638410514759,0.0336038912694359,0.0311148186563325,-0.0593145195116148,0.0456684772455085,0.1365637627157861,0.0350633169130512,-0.0774011055301966,0.0299670007908039,-0.1280791448951832,0.0090208307806569,-1
P009,A033,3,Task 3,lab,-0.5735294117647058,-0.7647058823529412,-0.0720588235294117,-0.4700980392156863,-0.875,-0.672549019607843,-2,1,-3,2,-1,-2,-3,1,8,-0.6038016020417496,0.052914490387072,0.0642621922529254,0.098648336531672,0.0337898598921778,0.0467606635804187,0.1072351967540697,0.1318223212594283,0.1326009736807972,-0.0174021334762193,0.0013761938986097,0.0618951418546304,-1
P010,A034,3,Task 3,lab,-0.188235294117647,0.0044117647058823,-0.2029411764705882,-0.1289215686274509,2.0,0.9355392156862744,2,2,2,2,2,2,2,2,9,-0.3921506928956488,-0.0354033216378177,-0.1064473897351588,-0.0654595537329182,0.0845597571644746,-0.1438998825613996,0.0065574605234008,0.1386395546758013,0.0758235938007047,0.0161999177696443,-0.1405811043970227,0.0342111150744638,-1
