scope,scope_label,experiments_included,behavior_variable,behavior_label,daily_item_variable,daily_item_label,n,spearman_rho,p_value,absolute_rho,q_value,fdr_correction_family,significance,fdr_significance
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,4_places/activities,Places/activities,153,0.1514510249117719,0.0616537790980701,0.1514510249117719,0.553043560383892,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,4_snacks or treats,Snacks/treats,153,0.1436437699110128,0.0764937914992145,0.1436437699110128,0.553043560383892,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,4_books or magazines,Books/magazines,153,0.1422566582311172,0.0794099928536906,0.1422566582311172,0.553043560383892,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,4_books or magazines,Books/magazines,153,0.1335996893749428,0.0996868089532373,0.1335996893749428,0.553043560383892,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",face_fni,Face FNI,4_movies or videos,Movies/videos,153,-0.1248106032570719,0.1242496207722002,0.1248106032570719,0.553043560383892,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,4_digital games,Digital games,153,-0.1203877158552623,0.138260890095973,0.1203877158552623,0.553043560383892,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,4_snacks or treats,Snacks/treats,153,0.0893493006156404,0.2720627193227899,0.0893493006156404,0.8156069178832452,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",face_fni,Face FNI,4_snacks or treats,Snacks/treats,153,0.0791282445842071,0.3309206295967447,0.0791282445842071,0.8156069178832452,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",face_fni,Face FNI,4_food/cuisine,Food/cuisine,153,0.0772505217885507,0.3425599722571729,0.0772505217885507,0.8156069178832452,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,4_restaurant,Restaurant,153,0.072759075079639,0.3714370209718595,0.072759075079639,0.8156069178832452,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,4_places/activities,Places/activities,153,0.0722521664071836,0.3747874343344661,0.0722521664071836,0.8156069178832452,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,4_digital games,Digital games,153,-0.0673974314208653,0.4078034589416226,0.0673974314208653,0.8156069178832452,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",face_fni,Face FNI,4_restaurant,Restaurant,153,-0.041285141379009,0.6123672841275458,0.041285141379009,0.954857976506076,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,4_clothes,Clothes,153,-0.0366154745191107,0.6531828546075849,0.0366154745191107,0.954857976506076,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,4_food/cuisine,Food/cuisine,153,0.0359094251903264,0.6594485582615928,0.0359094251903264,0.954857976506076,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,4_movies or videos,Movies/videos,153,0.0353120296922859,0.6647685941546517,0.0353120296922859,0.954857976506076,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,4_movies or videos,Movies/videos,153,0.0340170960891933,0.6763577333584705,0.0340170960891933,0.954857976506076,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,4_food/cuisine,Food/cuisine,153,0.0281620609834773,0.7296754426112725,0.0281620609834773,0.9729005901483634,focused_24_category_fni_x_daily_novelty_item_tests_within_scope,,
