scope,scope_label,experiments_included,behavior_variable,behavior_label,questionnaire_variable,questionnaire_label,n,spearman_rho,p_value,absolute_rho,q_value,fdr_correction_family,significance,fdr_significance
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",face_fni,Face FNI,aq_score,AQ,153,-0.2888954132387137,0.0002927077987864,0.2888954132387137,0.0029212443863943,focused_12_category_fni_x_questionnaire_tests_within_scope,***,**
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",face_fni,Face FNI,maemuki_score,Maemuki,153,0.2786568995782815,0.000486874064399,0.2786568995782815,0.0029212443863943,focused_12_category_fni_x_questionnaire_tests_within_scope,***,**
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",face_fni,Face FNI,10_flow_attitude,Flow attitude,153,0.2019706180163536,0.0122934276329952,0.2019706180163536,0.0491737105319808,focused_12_category_fni_x_questionnaire_tests_within_scope,*,*
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,maemuki_score,Maemuki,153,-0.1508284002356018,0.0627433996606525,0.1508284002356018,0.1882301989819576,focused_12_category_fni_x_questionnaire_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,aq_score,AQ,153,0.0859591301191144,0.29074302555046,0.0859591301191144,0.6977832613211041,focused_12_category_fni_x_questionnaire_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,4_nf_daily,Daily familiarity,153,0.0733747657257704,0.3673924415494491,0.0733747657257704,0.6997660213697022,focused_12_category_fni_x_questionnaire_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",geometry_fni,Geometry FNI,10_flow_attitude,Flow attitude,153,-0.0673410298571082,0.4081968457989929,0.0673410298571082,0.6997660213697022,focused_12_category_fni_x_questionnaire_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,4_nf_daily,Daily familiarity,153,0.0568452287031835,0.4852178457318281,0.0568452287031835,0.7268260764406315,focused_12_category_fni_x_questionnaire_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,maemuki_score,Maemuki,153,-0.0435714955838794,0.592799303027969,0.0435714955838794,0.7268260764406315,focused_12_category_fni_x_questionnaire_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,10_flow_attitude,Flow attitude,153,-0.0420618082491865,0.6056883970338596,0.0420618082491865,0.7268260764406315,focused_12_category_fni_x_questionnaire_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",scenery_fni,Scenery FNI,aq_score,AQ,153,0.0231840618785072,0.7760598041407986,0.0231840618785072,0.8466106954263257,focused_12_category_fni_x_questionnaire_tests_within_scope,,
primary_tasks_3_5,Primary: Tasks 3 + 5,"3,5",face_fni,Face FNI,4_nf_daily,Daily familiarity,153,-0.0064761292891396,0.9366753383249702,0.0064761292891396,0.9366753383249704,focused_12_category_fni_x_questionnaire_tests_within_scope,,
