item_variable,trait_variable,item_label,trait_label,n,spearman_rho,p_value,absolute_rho,q_value,fdr_significance,fdr_correction_family
4_food/cuisine,aq_score,Food/cuisine,AQ,303,0.2566908022973847,6.017333214116653e-06,0.2566908022973847,0.00014441599713879968,***,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_food/cuisine,10_flow_attitude,Food/cuisine,Flow attitude,303,-0.055530349803680365,0.33536726882707835,0.055530349803680365,0.44715635843610446,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_food/cuisine,maemuki_score,Food/cuisine,Maemuki,303,-0.16692812715159713,0.0035664210639128665,0.16692812715159713,0.01711882110678176,*,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_places/activities,aq_score,Places/activities,AQ,303,0.20917246309981505,0.00024576239633492973,0.20917246309981505,0.001966099170679438,**,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_places/activities,10_flow_attitude,Places/activities,Flow attitude,303,-0.11012731089004543,0.05550788535781748,0.11012731089004543,0.1024760960452015,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_places/activities,maemuki_score,Places/activities,Maemuki,303,-0.21417457777074866,0.00017238529514229328,0.21417457777074866,0.001966099170679438,**,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_movies or videos,aq_score,Movies/videos,AQ,303,0.1127876564097697,0.049828761364085955,0.1127876564097697,0.1024760960452015,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_movies or videos,10_flow_attitude,Movies/videos,Flow attitude,303,-0.07168352549903155,0.2134144105157911,0.07168352549903155,0.3150672741474504,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_movies or videos,maemuki_score,Movies/videos,Maemuki,303,-0.1544776561493517,0.0070589111496540445,0.1544776561493517,0.028235644598616178,*,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_restaurant,aq_score,Restaurant,AQ,303,0.1879072845065218,0.0010137300920105249,0.1879072845065218,0.006082380552063149,**,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_restaurant,10_flow_attitude,Restaurant,Flow attitude,303,-0.00021230954320651966,0.9970634923225936,0.00021230954320651966,0.9970634923225936,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_restaurant,maemuki_score,Restaurant,Maemuki,303,-0.140591214978233,0.014312681843132682,0.140591214978233,0.04907205203359777,*,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_clothes,aq_score,Clothes,AQ,303,0.10142215293977355,0.0779518371429621,0.10142215293977355,0.13363172081650646,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_clothes,10_flow_attitude,Clothes,Flow attitude,303,0.01266914476516089,0.8261610548738134,0.01266914476516089,0.9012666053168874,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_clothes,maemuki_score,Clothes,Maemuki,303,-0.1150378538735938,0.04541153860105994,0.1150378538735938,0.1024760960452015,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_digital games,aq_score,Digital games,AQ,303,0.07018379481879616,0.22317265252111068,0.07018379481879616,0.3150672741474504,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_digital games,10_flow_attitude,Digital games,Flow attitude,303,-0.0006475726705428522,0.9910434235636608,0.0006475726705428522,0.9970634923225936,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_digital games,maemuki_score,Digital games,Maemuki,303,-0.027412561811768304,0.6345840906797898,0.027412561811768304,0.7252389607769028,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_books or magazines,aq_score,Books/magazines,AQ,303,0.13216354308738024,0.021383082235066426,0.13216354308738024,0.06414924670519928,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_books or magazines,10_flow_attitude,Books/magazines,Flow attitude,303,-0.03422368386456566,0.5528869603850348,0.03422368386456566,0.6634643524620418,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_books or magazines,maemuki_score,Books/magazines,Maemuki,303,-0.08507946222095014,0.1395340979730498,0.08507946222095014,0.22325455675687966,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_snacks or treats,aq_score,Snacks/treats,AQ,303,0.1184947852834353,0.03926787680280927,0.1184947852834353,0.1024760960452015,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_snacks or treats,10_flow_attitude,Snacks/treats,Flow attitude,303,-0.04039611246206937,0.48358356989208606,0.04039611246206937,0.610842404074214,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
4_snacks or treats,maemuki_score,Snacks/treats,Maemuki,303,-0.1120385819485408,0.05137652338482705,0.1120385819485408,0.1024760960452015,,24_daily_item_x_trait_tests_qc_consistent_pooled_e2_e5_n303
