model,model_class,trait,structure_name,selected_model,term,estimate,std_error,z_value,p_value,planned_trait_slope_test,q_value,fdr_significance,moderator,raw_column,daily_variable,daily_variable_label,daily_variable_type,planned_daily_slope_test,category,predictor_sd_scale,estimate_per_sd,q_hlm_bh12,std_error_cr1,p_value_cr1,q_cr1_bh12,survives_cr1_bh12,survives_hlm_bh12
single_trait_AQ__category_intercepts_crossed,single_trait,AQ,category_intercepts_crossed,True,AQ_trial_Face,-0.0004638625788525,0.0004090182931635,-1.1340876107637994,0.2567577999696383,True,0.7026444726289519,,AQ,aq_score,,,,,Face,6.992421815672825,-0.003243522815842477,0.7323747536760636,0.0003018253426562,0.1243281787116985,0.4973127148467943,False,False
single_trait_AQ__category_intercepts_crossed,single_trait,AQ,category_intercepts_crossed,True,AQ_trial_Scenery,9.937837816953666e-05,0.0004090182931635,0.2429680526044104,0.808030146293083,True,0.8131706125388254,,AQ,aq_score,,,,,Scenery,6.992421815672825,0.0006948955395188521,0.8131706125388254,0.0005649552386348,0.8603686788025375,0.8603686788025375,False,False
single_trait_AQ__category_intercepts_crossed,single_trait,AQ,category_intercepts_crossed,True,AQ_trial_Geometry,-9.66664545102486e-05,0.0004090182931635,-0.2363377289621297,0.8131706125388254,True,0.8131706125388254,,AQ,aq_score,,,,,Geometry,6.992421815672825,-0.000675932625361207,0.8131706125388254,0.0005373232485438,0.8572281499600027,0.8603686788025375,False,False
single_trait_Maemuki__category_intercepts_crossed,single_trait,Maemuki,category_intercepts_crossed,True,Maemuki_trial_Face,0.0048854685453047,0.0047642707982141,1.0254388871295983,0.3051561473650265,True,0.7026444726289519,,Maemuki,maemuki_score,,,,,Face,0.6003062452212748,0.0029327772785785085,0.7323747536760636,0.0046291225410713,0.2912530279967203,0.7509527238291586,False,False
single_trait_Maemuki__category_intercepts_crossed,single_trait,Maemuki,category_intercepts_crossed,True,Maemuki_trial_Scenery,-0.002199954226683,0.0047642707982141,-0.461760953535149,0.6442527546975059,True,0.8131706125388254,,Maemuki,maemuki_score,,,,,Scenery,0.6003062452212748,-0.001320646261478745,0.8131706125388254,0.007005583784122,0.7534992564628537,0.8603686788025375,False,False
single_trait_Maemuki__category_intercepts_crossed,single_trait,Maemuki,category_intercepts_crossed,True,Maemuki_trial_Geometry,-0.0016679165373987,0.0047642707982141,-0.3500885251996996,0.7262722622247733,True,0.8131706125388254,,Maemuki,maemuki_score,,,,,Geometry,0.6003062452212748,-0.0010012607139082835,0.8131706125388254,0.0048089267586529,0.72871333997262,0.8603686788025375,False,False
single_trait_Flow__category_intercepts_crossed,single_trait,Flow Attitude,category_intercepts_crossed,True,Flow_trial_Face,0.0033743265047099,0.0044727008819914,0.7544270439134473,0.4505928377048517,True,0.7724448646368887,,Flow,10_flow_attitude,,,,,Face,0.6393259458930982,0.0021572944843758087,0.7724448646368887,0.0038073690537247,0.3754763619145792,0.7509527238291586,False,False
single_trait_Flow__category_intercepts_crossed,single_trait,Flow Attitude,category_intercepts_crossed,True,Flow_trial_Scenery,0.0058935983808824,0.0044727008819914,1.3176822095597536,0.18761005245046,True,0.7026444726289519,,Flow,10_flow_attitude,,,,,Scenery,0.6393259458930982,0.0037679303595716724,0.7323747536760636,0.006362298885669,0.354273688885963,0.7509527238291586,False,False
single_trait_Flow__category_intercepts_crossed,single_trait,Flow Attitude,category_intercepts_crossed,True,Flow_trial_Geometry,-0.0142644809471746,0.0044727008819914,-3.189232037538659,0.0014265132350524,True,0.0171181588206295,*,Flow,10_flow_attitude,,,,,Geometry,0.6393259458930982,-0.009119652774226479,0.0171181588206288,0.0046663773187586,0.0022366571340214,0.0268398856082575,True,True
daily_nf_composite__category_intercepts_crossed,daily_nf,Daily familiarity composite (higher = familiar),category_intercepts_crossed,True,DailyNF_trial_Face,0.0010140083187467,0.0028504260171068,0.3557392167561001,0.7220358729534085,,0.7220358729534085,,Daily familiarity,4_nf_daily,DailyNF,Daily familiarity composite (higher = familiar),composite,True,Face,1.0,0.0010140083187467,0.8131706125388254,0.0027090798778535,0.7081812088369448,0.8603686788025375,False,False
daily_nf_composite__category_intercepts_crossed,daily_nf,Daily familiarity composite (higher = familiar),category_intercepts_crossed,True,DailyNF_trial_Scenery,0.0066976865922009,0.0028504260171068,2.3497142364000227,0.0187878288086314,,0.0563634864258943,.,Daily familiarity,4_nf_daily,DailyNF,Daily familiarity composite (higher = familiar),composite,True,Scenery,1.0,0.0066976865922009,0.1127269728517884,0.0042853315808762,0.1180683301086315,0.4973127148467943,False,False
daily_nf_composite__category_intercepts_crossed,daily_nf,Daily familiarity composite (higher = familiar),category_intercepts_crossed,True,DailyNF_trial_Geometry,-0.0024480589221109,0.0028504260171068,-0.8588396637621625,0.3904289812808978,,0.5856434719213468,,Daily familiarity,4_nf_daily,DailyNF,Daily familiarity composite (higher = familiar),composite,True,Geometry,1.0,-0.0024480589221109,0.7724448646368887,0.0042954243071844,0.5687302694595602,0.8603686788025375,False,False
