experiment1_record_id,category,comparison_position,familiar_target_preference
E1A001,Face,1,-0.0875
E1A001,Face,2,0.1875
E1A001,Face,3,-0.10625
E1A001,Face,4,-0.59375
E1A001,Face,5,-0.3
E1A001,Face,6,-0.15625
E1A001,Face,7,-0.225
E1A001,Face,8,-0.225
E1A001,Face,9,-0.18125
E1A001,Face,10,0.0625
E1A001,Face,11,0.0625
E1A001,Face,12,0.04375
E1A001,Face,13,-0.19375
E1A001,Face,14,-0.2
E1A001,Face,15,-0.19375
E1A001,Face,16,-0.06875
E1A001,Face,17,-0.49375
E1A001,Face,18,-0.28125
E1A001,Face,19,-0.15
E1A001,Face,20,-0.40625
E1A001,Face,21,-0.1625
E1A001,Face,22,-0.51875
E1A001,Face,23,-0.1625
E1A001,Face,24,-0.0875
E1A001,Face,25,-0.50625
E1A001,Face,26,0.09375
E1A002,Face,1,-0.0124999999999999
E1A002,Face,2,-0.23125
E1A002,Face,3,-0.13125
E1A002,Face,4,0
E1A002,Face,5,-0.175
E1A002,Face,6,-0.3875
E1A002,Face,7,-0.61875
E1A002,Face,8,0.3875
E1A002,Face,9,-0.48125
E1A002,Face,10,0.21875
E1A002,Face,11,-0.05
E1A002,Face,12,0.10625
E1A002,Face,13,0.125
E1A002,Face,14,0.3125
E1A002,Face,15,-0.08125
E1A002,Face,16,0.11875
E1A002,Face,17,-0.08125
E1A002,Face,18,0.075
E1A002,Face,19,0.25625
E1A002,Face,20,0.075
E1A002,Face,21,-0.0125
E1A002,Face,22,0.05
E1A002,Face,23,0.375
E1A002,Face,24,0.16875
E1A002,Face,25,0.19375
E1A002,Face,26,0.18125
E1A003,Face,1,0.3625
E1A003,Face,2,0.0375
E1A003,Face,3,-0.0187499999999999
E1A003,Face,4,0.33125
E1A003,Face,5,0.075
E1A003,Face,6,0.5625
E1A003,Face,7,0.025
E1A003,Face,8,-0.26875
E1A003,Face,9,0.325
E1A003,Face,10,0.025
E1A003,Face,11,0.25
E1A003,Face,12,0.31875
E1A003,Face,13,0.43125
E1A003,Face,14,0.44375
E1A003,Face,15,-0.125
E1A003,Face,16,0.1625
E1A003,Face,17,-0.0875000000000001
E1A003,Face,18,0.1375
E1A003,Face,19,0.7125
E1A003,Face,20,0.29375
E1A003,Face,21,0.7625
E1A003,Face,22,0.775
E1A003,Face,23,0.6375
E1A003,Face,24,0.875
E1A003,Face,25,0.7125
E1A003,Face,26,0.71875
E1A004,Face,1,0.24375
E1A004,Face,2,-0.06875
E1A004,Face,3,0.04375
E1A004,Face,4,0.20625
E1A004,Face,5,-0.31875
E1A004,Face,6,0.06875
E1A004,Face,7,0.275
E1A004,Face,8,-0.33125
E1A004,Face,9,-0.00625000000000001
E1A004,Face,10,0.0375
E1A004,Face,11,-0.075
E1A004,Face,12,0.10625
E1A004,Face,13,-0.39375
E1A004,Face,14,0.28125
E1A004,Face,15,-0.06875
E1A004,Face,16,0.2125
E1A004,Face,17,-0.26875
E1A004,Face,18,-0.13125
E1A004,Face,19,0.19375
E1A004,Face,20,-0.29375
E1A004,Face,21,0.45
E1A004,Face,22,-0.03125
E1A004,Face,23,0.25625
E1A004,Face,24,-0.1625
E1A004,Face,25,-0.475
E1A004,Face,26,0.025
E1A005,Face,1,-0.04375
E1A005,Face,2,-0.43125
E1A005,Face,3,-0.30625
E1A005,Face,4,-0.04375
E1A005,Face,5,-0.05
E1A005,Face,6,0.3
E1A005,Face,7,0.1375
E1A005,Face,8,0.08125
E1A005,Face,9,-0.6875
E1A005,Face,10,1.04083408558608e-17
E1A005,Face,11,-0.30625
E1A005,Face,12,0.04375
E1A005,Face,13,-0.075
E1A005,Face,14,-0.075
E1A005,Face,15,0.14375
E1A005,Face,16,0.14375
E1A005,Face,17,-0.01875
E1A005,Face,18,0.21875
E1A005,Face,19,-0.35
E1A005,Face,20,-0.03125
E1A005,Face,21,-0.075
E1A005,Face,22,-0.19375
E1A005,Face,23,-0.1125
E1A005,Face,24,0.13125
E1A005,Face,25,-0.6625
E1A005,Face,26,0.0375
E1A006,Face,1,0.0249999999999999
E1A006,Face,2,0.1875
E1A006,Face,3,0.06875
E1A006,Face,4,-0.19375
E1A006,Face,5,-0.36875
E1A006,Face,6,-0.16875
E1A006,Face,7,-0.33125
E1A006,Face,8,-0.11875
E1A006,Face,9,-0.1375
E1A006,Face,10,-0.44375
E1A006,Face,11,-0.69375
E1A006,Face,12,-0.1625
E1A006,Face,13,-0.3875
E1A006,Face,14,-0.275
E1A006,Face,15,-0.15
E1A006,Face,16,-0.03125
E1A006,Face,17,-0.625
E1A006,Face,18,-0.1875
E1A006,Face,19,-0.4875
E1A006,Face,20,-0.19375
E1A006,Face,21,-0.075
E1A006,Face,22,-0.21875
E1A006,Face,23,0.225
E1A006,Face,24,-0.5625
E1A006,Face,25,-0.34375
E1A006,Face,26,-0.15625
E1A007,Face,1,0.29375
E1A007,Face,2,0.325
E1A007,Face,3,0.11875
E1A007,Face,4,0.1875
E1A007,Face,5,0.28125
E1A007,Face,6,0.0125
E1A007,Face,7,0.5
E1A007,Face,8,-0.13125
E1A007,Face,9,0.25
E1A007,Face,10,0.10625
E1A007,Face,11,0.09375
E1A007,Face,12,0.375
E1A007,Face,13,0.05
E1A007,Face,14,0.45625
E1A007,Face,15,-0.04375
E1A007,Face,16,-0.125
E1A007,Face,17,0.33125
E1A007,Face,18,0.3
E1A007,Face,19,0.45
E1A007,Face,20,0.2
E1A007,Face,21,1
E1A007,Face,22,0.3875
E1A007,Face,23,-0.1
E1A007,Face,24,0.23125
E1A007,Face,25,0.3375
E1A007,Face,26,0.53125
E1A008,Face,1,-0.14375
E1A008,Face,2,0.0437500000000001
E1A008,Face,3,-0.34375
E1A008,Face,4,-0.1375
E1A008,Face,5,-0.35625
E1A008,Face,6,-0.525
E1A008,Face,7,-0.05
E1A008,Face,8,0.11875
E1A008,Face,9,0.35625
E1A008,Face,10,-0.3375
E1A008,Face,11,0.2
E1A008,Face,12,-0.525
E1A008,Face,13,0.2625
E1A008,Face,14,-0.08125
