analysis_record_id,experiment,mode,in_primary,face_fni,geometry_fni,scenery_fni,aq_score,daily_familiarity,maemuki_score,flow_original,flow_common12,negative_capability,novelty_benefit,familiarity_benefit,daily_food,daily_places,daily_movies,daily_restaurant,daily_clothes,daily_games,daily_books,daily_snacks
A001,2,lab,True,-0.6617647058823529,-1.161764705882353,0.1235294117647058,19,0.75,0.7394296979823296,0.25,0.25,,2.0,1.0,1,1,2,1,1,0,-2,2
A002,2,lab,True,1.0,-0.7058823529411765,-1.2352941176470589,23,0.0,0.7246240601503762,1.25,1.25,,2.5,0.5,1,2,2,1,-1,-1,-2,-2
A003,2,lab,True,0.5441176470588235,-0.2647058823529412,-0.0735294117647058,13,0.125,0.8955254297359561,0.916666666667,0.916666666667,,1.0,1.5,1,1,-2,0,-2,2,-1,2
A004,2,lab,True,-0.4852941176470588,-1.638235294117647,-0.1176470588235294,20,0.5,-0.0135107339054707,0.5,0.5,,-0.5,0.5,3,1,-2,-1,2,-1,-1,3
A005,2,lab,True,1.0588235294117647,0.0088235294117647,-0.3588235294117647,28,1.75,0.7706925141135668,1.58333333333,1.58333333333,,2.0,0.5,3,2,2,2,2,1,1,1
A006,2,lab,True,0.261764705882353,0.3823529411764705,0.6529411764705882,17,0.0,1.2506860585807953,2.41666666667,2.41666666667,,1.5,0.0,2,1,-2,-3,2,0,2,-2
A007,2,lab,True,0.2264705882352941,-0.7794117647058824,0.1941176470588235,18,-0.125,1.15943868509658,1.33333333333,1.33333333333,,-0.5,0.0,1,2,-3,-1,1,2,-2,-1
A008,2,lab,True,-0.7911764705882353,-0.9029411764705882,-0.6588235294117647,14,0.0,0.4288078149920255,1.08333333333,1.08333333333,,0.5,1.5,2,-2,2,1,1,0,-2,-2
A009,2,lab,True,-0.2352941176470588,0.188235294117647,-1.8882352941176472,30,0.25,0.7403942305258095,1.91666666667,1.91666666667,,1.0,1.0,2,0,2,1,0,-2,0,-1
A010,2,lab,True,0.0647058823529411,0.0029411764705882,-0.25,23,0.875,0.8242411584516849,1.25,1.25,,1.5,1.0,3,2,1,1,-2,0,0,2
A011,2,lab,True,0.4117647058823529,-0.4852941176470588,-0.0970588235294117,17,1.125,-0.2788707880813144,0.833333333333,0.833333333333,,0.5,-1.0,3,3,-3,3,0,3,-3,3
A012,2,lab,True,0.15,0.2911764705882353,-0.1411764705882353,19,0.5,1.140477772714615,1.08333333333,1.08333333333,,0.0,1.0,1,-2,1,-1,1,2,-1,3
A013,2,lab,True,-0.4117647058823529,-0.4352941176470588,0.1764705882352941,12,0.75,0.5497844991266044,0.666666666667,0.666666666667,,0.0,0.0,0,-1,2,2,2,0,2,-1
A014,2,lab,True,0.8529411764705882,1.376470588235294,-0.6588235294117647,29,2.75,0.3919087491455913,1.41666666667,1.41666666667,,0.5,2.0,3,3,3,3,3,1,3,3
A015,2,lab,True,1.3352941176470587,-1.241176470588235,-0.311764705882353,20,1.5,0.6620180501759448,0.25,0.25,,-0.5,0.5,2,2,-3,3,1,3,1,3
A016,2,lab,True,-0.0147058823529411,-1.0705882352941176,-1.5294117647058822,13,0.625,0.5001958811169337,0.666666666667,0.666666666667,,1.0,0.0,2,1,1,-1,1,1,-1,1
A017,2,lab,True,-0.088235294117647,-0.1264705882352941,0.2470588235294117,12,-0.875,0.4519629249892408,0.416666666667,0.416666666667,,1.0,0.0,-1,-1,-1,-1,-1,-1,0,-1
A018,2,lab,True,-0.5705882352941177,-0.1352941176470588,-1.5147058823529411,34,1.125,1.007080833396623,0.833333333333,0.833333333333,,0.5,3.0,3,-1,0,3,-2,2,1,3
A019,2,lab,True,1.0323529411764707,-0.4411764705882353,-0.0323529411764705,8,-1.0,1.048688007898534,1.5,1.5,,2.5,0.5,-2,-1,1,-2,-2,1,-1,-2
A020,2,lab,True,1.1088235294117648,-1.4264705882352942,-1.7911764705882351,18,-0.25,1.372417786891471,2.08333333333,2.08333333333,,3.0,3.0,-1,-2,2,1,1,2,-2,-3
A021,2,lab,True,0.85,1.035294117647059,-0.0088235294117647,26,-0.5,1.6765578719526089,1.83333333333,1.83333333333,,3.0,2.0,-1,-2,-3,0,2,2,-1,-1
A022,2,lab,True,-0.5676470588235294,-1.311764705882353,0.35,22,-0.5,0.464922723475355,1.25,1.25,,1.5,0.5,2,-2,-2,2,-2,-2,-2,2
A023,2,lab,True,0.2147058823529411,-1.3617647058823528,-1.3058823529411765,17,0.0,0.6086368066631224,0.833333333333,0.833333333333,,1.0,-1.0,-1,-2,-1,-2,2,1,1,2
A024,2,lab,True,1.4764705882352942,-0.3411764705882353,-1.4558823529411764,25,2.375,1.1695245057087162,1.16666666667,1.16666666667,,-0.5,3.0,3,2,2,3,2,3,3,1
A025,3,lab,True,0.5617647058823529,-1.0,0.1573529411764706,22,0.875,1.0466051492367283,0.5,0.5,0.7777777777777778,0.5,0.5,0,2,3,1,2,-2,1,0
A026,3,lab,True,-0.4955882352941176,0.3794117647058823,0.375,28,1.5,-0.1066495152021467,0.833333333333,0.833333333333,2.3333333333333335,1.0,2.5,1,2,2,1,2,2,0,2
A027,3,lab,True,0.1823529411764706,-0.0249999999999999,-0.1411764705882352,20,0.125,0.3027986633249791,-0.25,-0.25,1.4444444444444444,2.0,1.0,1,-2,-1,-1,2,2,-2,2
A028,3,lab,True,-0.1176470588235294,-0.8441176470588235,-0.6352941176470589,24,0.75,0.8858383332067541,1.5,1.5,1.6666666666666667,2.0,2.0,2,-2,-1,1,3,0,1,2
A029,3,lab,True,-0.1602941176470588,0.8823529411764706,-1.9426470588235296,16,-0.875,1.4645170375433532,1.5,1.5,2.5555555555555554,2.0,0.0,1,-1,-2,-1,-2,0,-1,-1
