age_point_order,experiment,age,age_jitter
1,2,22.0,0.1520993533391226
2,2,22.0,0.030703357952886322
3,2,21.0,-0.13682521009472484
4,2,19.0,0.08205322781790497
5,2,18.0,-0.11219816008748523
6,2,18.0,0.15184574469153225
7,2,21.0,0.18438247482567313
8,2,19.0,-0.044157144393429354
9,2,19.0,0.18865899623780588
10,2,21.0,0.05897207048210744
11,2,19.0,0.15275540261702938
12,2,21.0,0.08029456185917634
13,2,62.0,0.12820256941848768
14,2,28.0,0.15894690626956978
15,2,19.0,0.03117712384865298
16,2,19.0,0.02017164522615815
17,2,31.0,-0.15206433688552
18,2,21.0,-0.059267046576609785
19,2,24.0,0.17886531978543888
20,2,43.0,-0.09183065171866253
21,2,30.0,0.10404193605394443
22,2,23.0,-0.1074400609983639
23,2,22.0,0.02025349467930627
24,2,40.0,0.05579484261038889
25,3,19.0,-0.11495781839469646
26,3,19.0,0.017162251519166994
27,3,19.0,0.16972875500760712
28,3,18.0,0.1695407190858685
29,3,19.0,0.11650707549314536
30,3,26.0,-0.1438600694775986
31,3,26.0,-0.17737854347962673
32,3,22.0,-0.13868342685288657
33,3,25.0,0.11022824822736955
34,3,46.0,0.18758440612343086
35,3,32.0,0.014940318172329457
36,3,18.0,0.07766380496934465
37,3,19.0,0.039649711268712654
38,3,19.0,0.029356074454698344
39,3,19.0,-0.11272957847050469
40,3,19.0,-0.03437907255125127
41,3,19.0,-0.049986658292844835
42,3,21.0,0.08355435069679326
43,3,19.0,0.07077188832501391
44,3,20.0,0.012055290997284925
45,3,19.0,-0.09325609064196462
46,3,19.0,-0.15993867128134714
47,4,39.0,-0.14565664930317276
48,4,36.0,0.01264877118021239
49,4,42.0,0.028282388353022218
50,4,49.0,0.030073769051703822
51,4,41.0,0.15761777551682973
52,4,45.0,-0.10256699179948774
53,4,31.0,-0.12427380310547069
54,4,62.0,0.17867995874578263
55,4,53.0,-0.07011248936918499
56,4,41.0,-0.17227245218092607
57,4,56.0,0.12836206694853178
58,4,31.0,0.015675609058595514
59,4,43.0,-0.023602645906349105
60,4,40.0,0.054372448399071245
61,4,48.0,0.0938163874545161
62,4,46.0,0.18542639701492578
63,4,51.0,-0.06687678949675227
64,4,35.0,-0.03203418625326204
65,4,45.0,0.03438700388535413
66,4,42.0,-0.08135403520921294
67,4,24.0,-0.014506247391229162
68,4,30.0,0.0737931733996784
69,4,62.0,0.03854427695872159
70,4,31.0,-0.03310351274689101
71,4,38.0,0.11027476643895395
72,4,25.0,0.15289647902157807
73,4,28.0,0.01939289951017965
74,4,48.0,-0.18463256256223193
75,4,36.0,-0.17340109716627758
76,4,34.0,-0.11244351147130541
77,4,33.0,0.06361760076091724
78,4,29.0,0.18976548006352353
79,4,31.0,0.18238484224826426
80,4,35.0,-0.09910340671184141
81,4,26.0,0.1603850911042513
82,4,33.0,0.025460510238941282
83,4,49.0,0.09780066697428234
84,4,18.0,0.15462796391550018
85,4,36.0,-0.012598047986333625
86,4,58.0,-0.12866043159258156
87,4,37.0,-0.09176813752842272
88,4,31.0,-0.03857560786316814
89,4,81.0,-0.021650990225564503
90,4,33.0,0.13414797158829486
91,4,25.0,0.06465778029533721
92,4,45.0,-0.056079293505888764
93,4,41.0,0.11982675926614082
94,4,41.0,-0.02226347189890854
95,4,51.0,0.09285707304969074
96,4,40.0,-0.029857675618264894
97,4,46.0,-0.14571764968720047
98,4,58.0,0.17471256153277673
99,4,51.0,0.09132205082807521
100,4,37.0,0.1570089825872169
101,4,26.0,0.1017181348674889
102,4,42.0,-0.07904544330911006
103,4,56.0,0.003611497557510026
104,4,63.0,0.1349090060558278
105,4,33.0,-0.0740540541292404
106,4,35.0,-0.06956513810048545
107,4,26.0,0.09443771408194535
108,4,53.0,-0.09572737396747434
109,4,35.0,-0.08855586766917398
110,4,68.0,0.0833096857696816
111,4,24.0,-0.06408333242895252
112,4,49.0,0.14632467096047763
113,4,49.0,-0.03753731326424395
114,4,51.0,-0.08387190963094962
115,4,34.0,-0.0019183039299848392
116,4,72.0,-0.08947893640983814
117,4,60.0,-0.017226073545676856
118,4,35.0,-0.11134801973759577
119,4,37.0,0.09059472924255153
120,4,35.0,-0.06520507349962854
121,4,30.0,-0.06926482726698972
122,4,28.0,-0.05955872153241109
123,4,19.0,-0.14590161314220118
124,4,35.0,0.042263085840107184
125,4,36.0,-0.09787316517681251
126,4,32.0,-0.015084971364533746
127,4,66.0,0.10234075092782807
128,4,44.0,0.12198236367760397
129,4,23.0,0.07580736081837265
130,4,29.0,-0.154316759715702
131,4,27.0,-0.09344522827258896
132,4,53.0,-0.03749971770911475
133,4,46.0,0.17296429337709487
134,4,32.0,0.06926753037221951
135,4,33.0,-0.10696002320986742
136,4,58.0,0.10470544669680998
137,4,37.0,-0.1739873521733888
138,4,28.0,-0.11828702485775479
139,4,34.0,-0.1203068316954877
140,4,50.0,0.15679656357285623
141,4,37.0,-0.13219673194529968
142,4,23.0,-0.1704420132709529
143,4,48.0,-0.12241442575485119
144,4,33.0,0.10279257531753025
