panel,method,category,state,n,percent,total
a,sign_only,Face,Novelty,55,35.483870967741936,155
a,sign_only,Face,Neutral,0,0.0,155
a,sign_only,Face,Familiarity,100,64.51612903225806,155
a,sign_only,Geometry,Novelty,77,49.67741935483871,155
a,sign_only,Geometry,Neutral,0,0.0,155
a,sign_only,Geometry,Familiarity,78,50.32258064516129,155
a,sign_only,Scenery,Novelty,107,69.03225806451613,155
a,sign_only,Scenery,Neutral,0,0.0,155
a,sign_only,Scenery,Familiarity,48,30.967741935483872,155
b,neutral_band,Face,Novelty,27,17.419354838709676,155
b,neutral_band,Face,Neutral,58,37.41935483870968,155
b,neutral_band,Face,Familiarity,70,45.16129032258065,155
b,neutral_band,Geometry,Novelty,57,36.774193548387096,155
b,neutral_band,Geometry,Neutral,44,28.387096774193548,155
b,neutral_band,Geometry,Familiarity,54,34.83870967741935,155
b,neutral_band,Scenery,Novelty,88,56.774193548387096,155
b,neutral_band,Scenery,Neutral,41,26.451612903225808,155
b,neutral_band,Scenery,Familiarity,26,16.774193548387096,155
