panel,group_id,group_label,trial_within_subcategory,trial_c,observed_mean,participant_sd,n_participants,sem,t_critical,ci_low,ci_high
a,high,Observed high Flow group (n=55),1,-8.5,0.0628636363636363,1.0304945794533944,55,0.138951860747319,2.004879288188057,-0.2157180713038545,0.3414453440311272
a,high,Observed high Flow group (n=55),2,-7.5,-0.0199545454545454,0.9199264628054228,55,0.1240428589399425,2.004879288188057,-0.2686455041908691,0.2287364132817781
a,high,Observed high Flow group (n=55),3,-6.5,-0.1157727272727272,0.98969152890715,55,0.1334499785340472,2.004879288188057,-0.3833238252447795,0.1517783706993249
a,high,Observed high Flow group (n=55),4,-5.5,0.2552727272727272,1.0240250187652835,55,0.1380795053620946,2.004879288188057,-0.0215600131509879,0.5321054676964425
a,high,Observed high Flow group (n=55),5,-4.5,0.0239545454545454,1.0501948332145028,55,0.141608242422565,2.004879288188057,-0.2599528868151686,0.3078619777242595
a,high,Observed high Flow group (n=55),6,-3.5,-0.1930454545454545,1.0260972775013208,55,0.1383589286730595,2.004879288188057,-0.4704384049779603,0.0843474958870511
a,high,Observed high Flow group (n=55),7,-2.5,0.0918181818181818,0.9644850207332692,55,0.1300511336652454,2.004879288188057,-0.1689186424726453,0.3525550061090089
a,high,Observed high Flow group (n=55),8,-1.5,-0.0558181818181818,0.9604009163019734,55,0.1295004331360724,2.004879288188057,-0.3154509180240757,0.2038145543877121
a,high,Observed high Flow group (n=55),9,-0.5,-0.0424999999999999,1.0685906043146878,55,0.144088727691695,2.004879288188057,-0.3313805058104482,0.2463805058104483
a,high,Observed high Flow group (n=55),10,0.5,0.0117272727272727,0.9132947924663362,55,0.1231486446938398,2.004879288188057,-0.2351708943878367,0.2586254398423822
a,high,Observed high Flow group (n=55),11,1.5,-0.0523636363636363,0.9322609685426144,55,0.1257060433542559,2.004879288188057,-0.3043890790846539,0.1996618063573812
a,high,Observed high Flow group (n=55),12,2.5,0.0366363636363636,1.040379896135459,55,0.1402847965768096,2.004879288188057,-0.2446177194681569,0.3178904467408842
a,high,Observed high Flow group (n=55),13,3.5,-0.1573181818181818,0.919135545779376,55,0.1239362117099064,2.004879288188057,-0.4057953257318634,0.0911589620954997
a,high,Observed high Flow group (n=55),14,4.5,-0.0473181818181818,0.9781689780724492,55,0.131896278096451,2.004879288188057,-0.3117542979628486,0.2171179343264849
a,high,Observed high Flow group (n=55),15,5.5,-0.1114545454545454,1.089021678153477,55,0.1468436531261126,2.004879288188057,-0.4058583442089601,0.1829492532998691
a,high,Observed high Flow group (n=55),16,6.5,-0.0031818181818181,1.0087046440472844,55,0.1360137064565425,2.004879288188057,-0.2758728811662305,0.2695092448025941
a,high,Observed high Flow group (n=55),17,7.5,-0.2273181818181818,1.0087219010893802,55,0.136016033395624,2.004879288188057,-0.5000139100345635,0.0453775463981999
a,high,Observed high Flow group (n=55),18,8.5,0.0125454545454545,1.0307222264416385,55,0.1389825566609518,2.004879288188057,-0.2660977947235109,0.2911887038144199
a,low,Observed low Flow group (n=52),1,-8.5,-0.023125,0.727095159744259,52,0.1008299569461387,2.0075837703158355,-0.2255495851267125,0.1792995851267124
a,low,Observed low Flow group (n=52),2,-7.5,-0.224326923076923,0.9612170741173196,52,0.1332968249069794,2.0075837703158355,-0.4919314653948067,0.0432776192409605
a,low,Observed low Flow group (n=52),3,-6.5,0.069951923076923,0.8553470070943424,52,0.1186152881689735,2.0075837703158355,-0.1681782043624441,0.3080820505162903
a,low,Observed low Flow group (n=52),4,-5.5,0.0037499999999999,0.8606164428853924,52,0.1193460274357964,2.0075837703158355,-0.2358471477317734,0.2433471477317734
a,low,Observed low Flow group (n=52),5,-4.5,0.09625,0.7875947655399205,52,0.1092197427477393,2.0075837703158355,-0.123017782938432,0.3155177829384321
a,low,Observed low Flow group (n=52),6,-3.5,0.1807211538461538,0.8297076523494706,52,0.1150597493919563,2.0075837703158355,-0.050270931649745,0.4117132393420528
a,low,Observed low Flow group (n=52),7,-2.5,0.2738942307692307,1.0146155474768508,52,0.1407018608196443,2.0075837703158355,-0.0085765414655248,0.5563650030039864
a,low,Observed low Flow group (n=52),8,-1.5,0.0295673076923077,0.844704630061604,52,0.1171394560118828,2.0075837703158355,-0.205599963060774,0.2647345784453894
a,low,Observed low Flow group (n=52),9,-0.5,-0.0526923076923076,1.0279840406265095,52,0.1425557372629822,2.0075837703158355,-0.3388848921868791,0.2335002768022637
