panel,experiment,mode,broad_category,predictor_value,empirical_slope,n_trials,x_plot
a,3,lab,Geometry,-0.4916046319272126,-0.0082301341589267,72,-0.4916046319272126
a,3,lab,Geometry,0.7583953680727874,-0.0348039215686274,72,0.7583953680727874
a,3,lab,Geometry,0.5917287014061207,-0.0362229102167182,72,0.5917287014061207
a,3,lab,Geometry,-1.4082712985938792,0.053173374613003,72,-1.4082712985938792
a,3,lab,Geometry,-0.824937965260546,0.0353973168214654,72,-0.824937965260546
a,3,lab,Geometry,0.2583953680727874,-0.1339009287925696,72,0.2583953680727874
a,3,lab,Geometry,1.175062034739454,-0.0944272445820433,72,1.175062034739454
a,3,lab,Geometry,0.5083953680727874,-0.0574561403508771,72,0.5083953680727874
a,3,lab,Geometry,0.0917287014061206,-0.0086429308565531,72,0.0917287014061206
a,3,lab,Geometry,-0.1582712985938792,-0.0181114551083591,72,-0.1582712985938792
a,3,lab,Geometry,-1.2416046319272125,-0.0305727554179566,72,-1.2416046319272125
a,3,lab,Geometry,0.5083953680727874,-0.0354747162022703,72,0.5083953680727874
a,3,lab,Geometry,0.5083953680727874,0.0851393188854488,72,0.5083953680727874
a,3,lab,Geometry,0.7583953680727874,-0.0302631578947368,72,0.7583953680727874
a,3,lab,Geometry,-0.3249379652605459,-0.0296439628482971,72,-0.3249379652605459
a,3,lab,Geometry,0.0917287014061206,-0.0157894736842105,72,0.0917287014061206
a,3,lab,Geometry,-0.1582712985938792,0.0052889576883384,72,-0.1582712985938792
a,3,lab,Geometry,-0.0749379652605459,0.042750257997936,72,-0.0749379652605459
a,3,lab,Geometry,0.5083953680727874,-0.1604231166150669,72,0.5083953680727874
a,3,lab,Geometry,-0.574937965260546,-0.0361971104231165,72,-0.574937965260546
a,3,lab,Geometry,0.4250620347394541,-0.0344427244582043,72,0.4250620347394541
a,3,lab,Geometry,-0.6582712985938792,0.0066305469556243,72,-0.6582712985938792
a,5,online,Geometry,-0.1454507857733664,-0.0024509803921568,72,-0.1454507857733664
a,5,online,Geometry,-0.4531430934656741,0.0274819401444788,72,-0.4531430934656741
a,5,online,Geometry,-0.0685277088502893,-0.0541511867905056,72,-0.0685277088502893
a,5,online,Geometry,0.2391645988420182,-0.0061661506707946,72,0.2391645988420182
a,5,online,Geometry,-0.3762200165425972,0.01515737874097,72,-0.3762200165425972
a,5,online,Geometry,-0.4531430934656741,0.0283101135190918,72,-0.4531430934656741
a,5,online,Geometry,0.0853184449958642,0.0016976264189886,72,0.0853184449958642
a,5,online,Geometry,-1.606989247311828,0.0372136222910216,72,-1.606989247311828
a,5,online,Geometry,-1.1454507857733665,-0.0328431372549019,72,-1.1454507857733665
a,5,online,Geometry,-0.1454507857733664,0.0244762641898864,72,-0.1454507857733664
a,5,online,Geometry,-0.7608354011579819,0.0026444788441692,72,-0.7608354011579819
a,5,online,Geometry,-0.530066170388751,0.0378431372549019,72,-0.530066170388751
a,5,online,Geometry,-1.1454507857733665,0.0030443756449948,72,-1.1454507857733665
a,5,online,Geometry,-0.2223738626964433,0.0342492260061919,72,-0.2223738626964433
a,5,online,Geometry,1.1622415219189413,0.0063028895768834,72,1.1622415219189413
a,5,online,Geometry,0.7776261373035566,0.0219143446852425,72,0.7776261373035566
a,5,online,Geometry,0.8545492142266339,-0.0477837977296181,72,0.8545492142266339
a,5,online,Geometry,1.0083953680727875,-0.0069401444788441,72,1.0083953680727875
a,5,online,Geometry,-0.4531430934656741,0.0426160990712074,72,-0.4531430934656741
a,5,online,Geometry,0.3160876757650951,-0.0126676986584107,72,0.3160876757650951
a,5,online,Geometry,-0.0685277088502893,-0.0673839009287925,72,-0.0685277088502893
a,5,online,Geometry,0.6237799834574028,-0.0222807017543859,72,0.6237799834574028
a,5,online,Geometry,1.1622415219189413,-0.023828689370485,72,1.1622415219189413
a,5,online,Geometry,-0.0685277088502893,-0.0216873065015479,72,-0.0685277088502893
a,5,online,Geometry,0.2391645988420182,0.0253482972136222,72,0.2391645988420182
a,5,online,Geometry,0.1622415219189409,0.0227760577915376,72,0.1622415219189409
a,5,online,Geometry,0.3160876757650951,0.0102296181630546,72,0.3160876757650951
a,5,online,Geometry,0.393010752688172,0.0097574819401444,72,0.393010752688172
a,5,online,Geometry,0.0853184449958642,0.0197239422084623,72,0.0853184449958642
a,5,online,Geometry,0.3160876757650951,-0.0139035087719298,72,0.3160876757650951
a,5,online,Geometry,0.4699338296112491,0.0323813209494323,72,0.4699338296112491
a,5,online,Geometry,0.2391645988420182,0.0085268317853457,72,0.2391645988420182
a,5,online,Geometry,0.393010752688172,0.0306811145510835,72,0.393010752688172
a,5,online,Geometry,-1.1454507857733665,0.0411248710010319,72,-1.1454507857733665
a,5,online,Geometry,1.2391645988420183,0.0085294117647058,72,1.2391645988420183
a,5,online,Geometry,0.0853184449958642,-0.0098477812177502,72,0.0853184449958642
a,5,online,Geometry,-0.606989247311828,-0.0297987616099071,72,-0.606989247311828
a,5,online,Geometry,0.4699338296112491,-0.0123658410732713,72,0.4699338296112491
a,5,online,Geometry,0.0853184449958642,0.0665144478844169,72,0.0853184449958642
a,5,online,Geometry,-0.9146815550041356,0.0228250773993808,72,-0.9146815550041356
a,5,online,Geometry,-0.530066170388751,0.0558410732714138,72,-0.530066170388751
a,5,online,Geometry,0.2391645988420182,-0.0213028895768833,72,0.2391645988420182
a,5,online,Geometry,0.6237799834574028,0.022985036119711,72,0.6237799834574028
a,5,online,Geometry,0.6237799834574028,0.0999742002063983,72,0.6237799834574028
a,5,online,Geometry,-0.2992969396195203,-0.0292156862745097,72,-0.2992969396195203
a,5,online,Geometry,-0.4531430934656741,-0.0592440660474716,72,-0.4531430934656741
a,5,online,Geometry,-1.0685277088502896,0.0074122807017543,72,-1.0685277088502896
a,5,online,Geometry,0.6237799834574028,0.0018369453044375,72,0.6237799834574028
a,5,online,Geometry,-0.0685277088502893,-0.0182430340557275,72,-0.0685277088502893
a,5,online,Geometry,0.0083953680727874,0.0136042311661506,72,0.0083953680727874
a,5,online,Geometry,0.393010752688172,-0.0300696594427244,72,0.393010752688172
a,5,online,Geometry,0.0853184449958642,-0.1101599587203301,72,0.0853184449958642
a,5,online,Geometry,-0.4531430934656741,-0.0427941176470588,72,-0.4531430934656741
a,5,online,Geometry,0.0853184449958642,-0.0173168214654282,72,0.0853184449958642
a,5,online,Geometry,0.0083953680727874,0.0686197110423116,72,0.0083953680727874
a,5,online,Geometry,-0.6839123242349049,-0.0209726522187822,72,-0.6839123242349049
a,5,online,Geometry,0.393010752688172,0.0895614035087719,72,0.393010752688172
a,5,online,Geometry,0.6237799834574028,-0.0088054695562435,72,0.6237799834574028
a,5,online,Geometry,0.4699338296112491,-0.0663157894736841,72,0.4699338296112491
a,5,online,Geometry,0.4699338296112491,-0.0069530443756449,72,0.4699338296112491
a,5,online,Geometry,-1.222373862696443,0.0084262125902992,72,-1.222373862696443
a,5,online,Geometry,0.393010752688172,0.0153044375644994,72,0.393010752688172
a,5,online,Geometry,0.2391645988420182,0.0935758513931888,72,0.2391645988420182
a,5,online,Geometry,-2.1454507857733662,0.0406811145510835,72,-2.1454507857733662
a,5,online,Geometry,-0.1454507857733664,0.056609907120743,72,-0.1454507857733664
