panel,estimand,estimate,se,ci_low,ci_high,p_value,q_bh
a,Face slope,.01337,.00278,.00792,.01882,1.54e-6,--
a,Scenery slope,-.01763,.00403,-.02552,-.00974,1.19e-5,--
a,Geometry slope,.00131,.00391,-.00636,.00898,.73785,--
a,Face -- Scenery,.03100,.00476,.02166,.04034,7.75e-11,2.32e-10
a,Face -- Geometry,.01206,.00451,.00322,.02090,.00748,.00748
a,Scenery -- Geometry,-.01894,.00558,-.02988,-.00799,.000695,.00104
b,Face slope,0.01336,0.00726,-0.00087,0.02760,0.0658,--
b,Scenery slope,-0.01819,0.00305,-0.02417,-0.01222,2.44e-9,--
b,Geometry slope,0.00112,0.00368,-0.00610,0.00834,0.761,--
b,Face -- Scenery,0.03156,0.00814,0.01560,0.04751,0.000106,0.000159
b,Face -- Geometry,0.01224,0.00870,-0.00480,0.02929,0.159,0.159
b,Scenery -- Geometry,-0.01931,0.00474,-0.02861,-0.01001,4.69e-5,0.000141
