category,moderator,b,se_hlm,p_hlm,q_hlm,se_cr1,p_cr1,q_cr1,cr1_bh
Face,AQ,-.00046,.00041,.25676,.73238,.00030,.12433,.49731,no
Face,Daily familiarity,.00101,.00285,.72204,.81317,.00271,.70818,.86037,no
Face,Maemuki,.00489,.00476,.30516,.73238,.00463,.29125,.75095,no
Face,Flow Attitude,.00337,.00447,.45059,.77245,.00381,.37548,.75095,no
Scenery,AQ,.00010,.00041,.80803,.81317,.00056,.86037,.86037,no
Scenery,Daily familiarity,.00670,.00285,.01879,.11273,.00429,.11807,.49731,no
Scenery,Maemuki,-.00220,.00476,.64425,.81317,.00701,.75350,.86037,no
Scenery,Flow Attitude,.00589,.00447,.18761,.73238,.00636,.35427,.75095,no
Geometry,AQ,-.00010,.00041,.81317,.81317,.00054,.85723,.86037,no
Geometry,Daily familiarity,-.00245,.00285,.39043,.77245,.00430,.56873,.86037,no
Geometry,Maemuki,-.00167,.00476,.72627,.81317,.00481,.72871,.86037,no
Geometry,Flow Attitude,-.01426,.00447,.00143,.01712,.00467,.00224,.02684,yes
