left_label,left_column,right_label,right_column,n,rho,p_value,q_bh,bh
Books/magazines,daily_books,AQ,aq_score,303,0.13216354308738024,0.021383082235066426,0.06414924670519928,no
Books/magazines,daily_books,Flow attitude,flow_original,303,-0.03422368386456566,0.5528869603850348,0.6634643524620418,no
Books/magazines,daily_books,Maemuki,maemuki_score,303,-0.08507946222095014,0.1395340979730498,0.22325455675687966,no
Clothes,daily_clothes,AQ,aq_score,303,0.10142215293977355,0.0779518371429621,0.13363172081650646,no
Clothes,daily_clothes,Flow attitude,flow_original,303,0.01266914476516089,0.8261610548738134,0.9012666053168874,no
Clothes,daily_clothes,Maemuki,maemuki_score,303,-0.1150378538735938,0.04541153860105994,0.1024760960452015,no
Digital games,daily_games,AQ,aq_score,303,0.07018379481879616,0.22317265252111068,0.3150672741474504,no
Digital games,daily_games,Flow attitude,flow_original,303,-0.0006475726705428522,0.9910434235636608,0.9970634923225936,no
Digital games,daily_games,Maemuki,maemuki_score,303,-0.027412561811768304,0.6345840906797898,0.7252389607769028,no
Food/cuisine,daily_food,AQ,aq_score,303,0.2566908022973847,6.017333214116653e-06,0.00014441599713879968,yes
Food/cuisine,daily_food,Flow attitude,flow_original,303,-0.055530349803680365,0.33536726882707835,0.44715635843610446,no
Food/cuisine,daily_food,Maemuki,maemuki_score,303,-0.16692812715159713,0.0035664210639128665,0.01711882110678176,yes
Movies/videos,daily_movies,AQ,aq_score,303,0.1127876564097697,0.049828761364085955,0.1024760960452015,no
Movies/videos,daily_movies,Flow attitude,flow_original,303,-0.07168352549903155,0.2134144105157911,0.3150672741474504,no
Movies/videos,daily_movies,Maemuki,maemuki_score,303,-0.1544776561493517,0.0070589111496540445,0.028235644598616178,yes
Places/activities,daily_places,AQ,aq_score,303,0.20917246309981505,0.00024576239633492973,0.001966099170679438,yes
Places/activities,daily_places,Flow attitude,flow_original,303,-0.11012731089004543,0.05550788535781748,0.1024760960452015,no
Places/activities,daily_places,Maemuki,maemuki_score,303,-0.21417457777074866,0.00017238529514229328,0.001966099170679438,yes
Restaurant,daily_restaurant,AQ,aq_score,303,0.1879072845065218,0.0010137300920105249,0.006082380552063149,yes
Restaurant,daily_restaurant,Flow attitude,flow_original,303,-0.00021230954320651966,0.9970634923225936,0.9970634923225936,no
Restaurant,daily_restaurant,Maemuki,maemuki_score,303,-0.140591214978233,0.014312681843132682,0.04907205203359777,yes
Snacks/treats,daily_snacks,AQ,aq_score,303,0.1184947852834353,0.03926787680280927,0.1024760960452015,no
Snacks/treats,daily_snacks,Flow attitude,flow_original,303,-0.04039611246206937,0.48358356989208606,0.610842404074214,no
Snacks/treats,daily_snacks,Maemuki,maemuki_score,303,-0.1120385819485408,0.05137652338482705,0.1024760960452015,no
